backgroundCompilationEnabled,freqInlineSize,minInliningThreshold,inlineSmallCode,graalBootstrapEnabled,compileThreshold,codeFlushingEnabled,onStackReplacePercentage,loopMinUnroll,counterDecayEnabled,maxInlineLevel,loopUnrollLimit,loopMaxUnroll,maxRecursiveInlineLevel,tieredCompilationEnabled,maxInlineSize,compileHugeMethodsEnabled,graalCompilerEnabled,result
1,336,668,1,9298,14,1,5,0,1,963,49,130,2,0,30,11,0,4852
1,368,696,1,37982,8,0,2,0,1,263,28,137,2,0,94,9,0,4772
1,232,1216,1,11263,14,0,5,1,1,685,28,469,1,0,30,14,0,4154
1,301,673,1,12940,5,1,2,1,1,640,32,135,1,0,57,26,0,3910
1,390,1665,1,3169,7,1,2,1,0,169,69,104,3,0,47,13,1,3549
0,149,1213,1,19036,14,0,2,0,1,742,26,144,2,0,18,25,0,3842
1,309,557,1,8090,5,0,3,1,1,670,40,312,3,0,69,20,0,4777
1,92,1932,1,14134,10,0,2,1,1,853,43,209,2,0,90,20,0,4163
0,88,670,1,8936,12,1,5,0,0,683,79,478,2,0,50,24,0,5086
0,77,1455,1,1076,5,1,7,0,1,973,37,359,1,0,61,26,0,4984
