minInliningThreshold,freqInlineSize,loopMinUnroll,inlineSmallCode,maxInlineLevel,loopUnrollLimit,loopMaxUnroll,maxRecursiveInlineLevel,maxInlineSize,result
352,683,9,12,26,425,0,47,6,3541
282,1151,2,15,25,382,0,43,26,3522
173,1543,2,12,20,418,0,50,7,3528
393,1600,7,14,27,381,3,53,25,3568
122,1540,4,14,29,381,2,48,9,3569
304,727,3,8,20,336,3,50,13,3532
375,1523,9,5,20,260,3,52,13,3535
59,1858,9,11,21,353,3,50,23,3532
328,1074,6,10,26,381,3,46,13,3536
56,705,7,12,21,379,3,46,13,3522
88,811,3,8,20,380,2,51,12,3535
343,737,3,5,25,488,1,45,10,3721
252,1413,3,14,20,382,3,52,23,4033
130,634,6,11,26,365,1,46,19,3541
169,1867,6,11,20,374,2,46,21,3521
357,760,4,11,24,382,3,43,17,4021
385,522,6,6,22,360,3,50,26,3502
342,1055,9,13,21,274,3,48,18,3530
315,1283,3,6,28,385,3,45,12,4136
299,887,9,13,24,380,3,45,11,3538
155,1073,9,10,22,240,3,47,9,3733
59,1940,3,14,24,389,0,49,18,3545
119,1756,4,6,26,378,3,45,10,3535
383,861,2,12,27,372,3,44,18,3534
335,1520,5,7,28,336,3,45,13,3549
397,974,3,15,25,358,3,51,7,3547
136,2000,5,7,26,380,2,47,10,3534
378,1321,2,7,27,381,2,49,7,3561
221,717,2,6,20,323,3,50,21,3531
392,1685,3,12,20,379,3,50,23,3535
154,602,2,14,25,260,2,54,24,3533
299,503,2,15,24,371,3,43,13,3726
206,1742,3,6,24,383,2,48,7,4003
278,1353,9,5,30,296,3,51,11,3595
297,1962,9,13,23,380,3,51,16,3534
179,959,7,13,26,245,2,52,9,3489
178,1340,6,15,26,379,3,44,17,3533
182,1594,4,6,25,378,3,48,26,3533
381,1987,4,5,20,350,3,51,26,3540
215,807,5,9,22,379,3,45,15,3531
216,1101,5,15,20,359,3,49,9,3546
352,944,5,11,27,378,2,51,11,3550
281,1011,6,6,26,355,1,43,26,3540
128,509,4,13,28,239,3,50,10,3741
294,1446,3,6,28,366,3,46,10,3547
305,1215,2,15,20,367,3,47,13,3522
86,797,7,11,27,381,2,44,11,3529
61,1474,9,10,20,416,0,49,16,3539
233,1863,2,8,23,381,1,43,23,3517
338,871,2,15,29,379,2,40,21,3557
350,845,5,12,28,258,1,44,19,3541
305,976,5,9,26,375,3,52,24,3554
167,1735,4,5,23,382,3,51,15,4146
336,912,5,6,24,379,3,46,13,3529
201,1853,3,6,23,310,3,52,12,3549
90,1428,8,5,21,232,2,50,6,3717
308,971,5,11,27,379,3,53,19,3573
251,1037,9,9,25,382,3,48,25,4031
61,632,5,15,20,381,1,47,19,3527
375,1347,4,7,22,380,3,48,8,3535
105,1346,3,6,23,362,2,46,12,3538
80,1391,2,5,29,377,3,44,14,3546
376,532,2,12,29,378,3,45,17,3528
53,1505,8,8,24,377,3,50,23,3552
95,1705,3,15,21,373,3,50,11,3541
198,1599,9,8,23,380,3,51,17,3543
136,1792,2,8,20,387,0,48,12,3532
396,1595,4,5,23,381,3,52,17,3544
99,1864,7,5,21,376,1,43,7,3524
82,1284,4,10,29,380,3,52,11,3579
153,897,7,11,25,381,2,52,15,3543
189,693,4,9,38,376,0,49,26,3917
128,1744,4,13,22,368,3,52,25,3543
175,567,2,8,22,372,2,45,8,3710
174,1906,5,5,22,267,3,50,18,3538
148,1707,5,10,20,362,3,51,26,3535
183,1641,6,11,20,390,0,40,23,3510
230,941,2,10,39,290,2,50,23,3604
353,939,10,11,23,377,3,49,8,3544
368,1301,2,5,29,388,3,54,17,4206
305,572,9,11,24,380,2,50,26,3504
242,705,10,15,21,385,2,51,22,4020
314,1288,9,5,28,350,3,50,23,3566
348,1767,6,9,21,382,0,40,17,3701
192,1361,8,7,23,372,3,53,26,3560
376,1783,10,12,29,246,1,54,22,3829
242,503,7,6,25,329,3,49,26,3499
139,1956,5,6,28,379,3,47,15,3548
211,1667,9,9,23,377,3,45,23,3534
93,1155,4,14,24,381,3,48,23,3537
322,1113,8,8,20,370,3,50,20,3538
323,1868,3,5,26,239,2,53,12,3516
320,1022,8,7,26,382,3,52,7,4041
201,1567,3,5,25,313,3,51,13,3543
358,808,2,12,26,247,2,53,9,3516
308,1745,2,15,28,384,1,43,23,3755
303,1805,10,15,23,379,3,49,24,3542
188,1943,2,15,21,387,1,53,9,3780
356,1025,3,8,29,295,3,53,15,3592
258,899,9,10,23,373,3,45,8,3528
65,992,7,12,22,379,3,48,26,3529
214,675,10,13,43,325,0,30,13,3726
90,1015,3,9,29,394,0,53,14,3592
223,1441,6,5,27,376,3,52,25,3553
265,1855,8,8,25,376,3,54,8,3565
181,1319,2,12,25,379,2,38,26,3522
118,1673,2,11,29,363,3,54,18,3872
235,768,3,5,26,378,3,53,8,3568
293,667,6,14,20,257,2,52,19,3538
311,1809,5,6,30,382,0,44,21,3563
206,943,4,7,23,381,3,40,16,3534
179,1536,4,5,21,373,3,48,17,3527
377,1044,9,14,28,263,2,52,8,3561
157,1953,2,13,21,383,2,42,20,4005
262,1868,2,12,25,367,2,54,20,3566
172,598,2,5,21,327,2,51,13,3493
333,606,7,15,20,380,3,45,16,3714
177,675,10,6,21,378,2,51,8,3543
62,1933,9,9,27,380,2,45,6,3531
303,1437,7,7,28,372,3,48,11,3546
162,1815,2,13,26,378,1,38,18,3528
129,1135,3,14,21,380,2,51,20,3537
