minInliningThreshold,freqInlineSize,loopMinUnroll,inlineSmallCode,maxInlineLevel,loopUnrollLimit,loopMaxUnroll,maxRecursiveInlineLevel,maxInlineSize,result
163,1776,7,11,43,133,1,17,26,3268
380,1499,10,12,41,101,0,11,26,3266
294,1977,10,8,46,107,1,28,21,3781
387,1742,9,13,44,148,1,18,25,3255
309,1685,7,14,43,119,0,16,20,3776
318,1815,7,15,44,103,0,13,23,3509
57,1937,9,9,45,144,0,10,26,3827
374,1063,7,14,40,108,1,10,23,3803
232,1815,8,7,47,119,2,16,23,3246
301,1733,10,8,45,122,0,17,24,3247
319,1242,9,8,41,114,0,16,23,3784
91,600,9,12,45,125,1,11,26,3273
323,1174,9,11,43,112,0,13,21,3785
92,1301,10,6,43,118,1,12,26,3260
315,547,8,15,45,152,1,29,26,3255
