minInliningThreshold,freqInlineSize,loopMinUnroll,inlineSmallCode,maxInlineLevel,loopUnrollLimit,loopMaxUnroll,maxRecursiveInlineLevel,maxInlineSize,result
50,2000,2,15,20,100,0,10,6,3656
50,500,2,15,20,100,0,10,6,3636
50,2000,2,15,20,100,0,10,6,3654
50,2000,2,15,20,100,0,10,6,3656
50,500,2,15,20,100,0,10,6,3636
50,2000,2,15,20,100,0,10,6,3653
50,500,2,15,20,100,0,10,6,3632
50,2000,2,15,20,100,0,10,26,3655
50,2000,2,15,20,100,0,10,6,3656
50,2000,2,5,20,100,0,10,6,3656
50,2000,2,15,20,100,0,10,6,3586
50,500,2,15,20,100,0,10,6,3630
50,500,2,15,20,100,0,10,26,3630
50,500,2,5,20,100,0,10,6,3632
50,2000,2,15,20,100,0,10,26,3660
50,2000,2,15,20,100,0,10,6,3654
50,2000,2,5,20,100,0,10,26,3659
50,2000,2,15,20,100,0,10,26,3583
50,500,2,15,20,100,0,10,26,3631
50,500,2,15,20,100,0,10,26,3633
50,2000,10,15,20,100,3,10,6,3594
400,500,2,15,20,100,0,10,6,3633
50,2000,2,15,20,100,0,10,6,3655
50,500,2,15,20,100,0,10,6,3639
50,2000,2,15,20,100,0,10,26,3584
50,500,2,5,20,100,0,10,6,3584
50,500,10,15,20,100,0,10,6,3636
50,500,2,15,20,100,0,10,6,3595
50,500,2,15,20,100,0,10,6,3628
50,500,2,15,20,100,0,10,6,3630
50,2000,2,15,20,100,0,10,26,3650
50,500,2,15,20,100,0,10,6,3630
50,500,2,5,20,100,0,10,26,3590
50,500,2,15,20,100,0,10,26,3631
50,500,10,5,20,100,0,10,6,3633
50,500,10,15,20,100,0,10,26,3634
50,500,2,15,20,100,0,10,6,3632
50,2000,10,5,20,100,0,10,6,3660
50,500,2,5,20,100,0,10,6,3632
400,500,2,15,20,100,0,10,26,3631
50,500,10,5,20,100,0,10,6,3628
50,500,2,5,20,100,0,10,6,3635
50,500,10,15,20,100,0,10,6,3634
50,500,2,5,20,100,0,10,26,3634
50,500,2,15,20,100,0,10,6,3631
50,500,2,15,20,100,3,10,26,3640
50,500,10,15,20,100,0,10,26,3632
50,500,2,5,20,100,0,10,26,3630
50,500,10,15,20,100,0,10,26,3630
50,500,10,15,20,100,0,10,6,3588
50,500,10,15,20,100,0,10,26,3632
50,500,2,5,20,100,0,10,26,3635
